τεθνηκότων,ξυμφυγόντες,μνηστηροφονίαν,καταλυομένων,εὐδαιμονιζομένων
ἐπεσσυμένους,ἐπεσσυμένοιο,ἐπεσσυμένας,ἐπεσσυμένων,ἐπέχυντο
Κλωδίου,Κικέρωνος,Κλωδίῳ,θρασυτάτου,Κικέρων
στοαὶ,ἐκπώμασιν,ὀρώρυκται,ἀνυπερβλήτῳ,ἐπίπεδοι
ἐπιτιμῶμεν,τιμῶμεν,ἀπίωμεν,αἴσχιστόν,σωφρονέστατοι
κριὸς,χήν,τομίας,προσαγάγῃς,προσαχθέντος
ἀπέλιπον,παρέδοσαν,ἐκβαλόντες,λάβοιμεν,ὑπέστρεψα
δόξεις,ἄσκει,θέλγεις,ὁμολογήσῃς,τύχῃς
εὔστροφον,εὐγλωττίαν,γλυκερόν,κυκλούμενοι,ἀηδόνος
παραθῇς,προβάτῳ,ἀπιστοίη,βελτίστης,χειμερινῶν
ἀπολείπων,ἀπολείπω,ἀλγεινὸς,φωτίζων,καλυπτόμενον
ἐκλεγόμενος,ἐκλεγόμενον,ἐκλεγόμενοι,ἄρξοντας,ἄρξοντα
ἐλαφρᾶς,καταδαρθεῖν,ἐξέθρεψε,πύρωσιν,ἰσχυροτέρου
διαφθείροντα,διαφθείροντας,διαφθείροντος,ποιοῦντά,Μέλητε
λεαίνει,ἐκτρέπει,θάλπει,ὠχρός,δυσθεώρητον
·,»,«,᾿,πάντα
Παρθυαίους,Ἀντωνίῳ,Παρθυαίοις,Ἀντώνιος,Συρίαν
σαρίσῃ,σαρίσης,διελάσας,παίω,ὀκλάσας
ἡμέραν,ἐκείνην,·,μίαν,᾿
Λαπίθας,Κενταύρους,Λαπίθαι,Λαπίθαις,Πειριθόοιο
ἐξίησιν,ἐξίησι,Ἀχελῶος,ποταμὸς,Ὄξος
περῶ,Ἀρταμουξία,ληκύθιον,ἀρωγάν,ξανθὰν
ἐφίστανται,ἐφίσταντο,ἐφίσταται,κατεγέλασαν,ἐπαίρουσιν
μανέντος,μανέντα,μανέντες,ἐπιφανέντος,μούνου
Ὀρμένιον,Δημητριάδος,Σμινθέως,Κυμαίας,ἄλσει
ἀντιτύπου,ἀντιτύπους,κεραῆς,ἀντιτύποιο,Ὑάδας
σωματικά,μαθηματικά,σωματικάς,σωματικῶν,φθαρτικά
ἀτυχοῦντι,ἀτυχοῦντος,ἀτυχοῦντες,δυστυχοῦντι,δυστυχοῦντες
συναντόμενος,ἄν,ἂν,καταφρονήσειεν,ἐπαύρῃ
κατεδίωξε,τρεψάμενος,πολιορκήσας,εἷλε,ἐκράτησε
ὑποδεδεμένον,Εὐκράτην,παρέπεμψε,τριόδου,Εὐκράτης
προβλῆτα,προβλῆτας,προβλῆτες,κούφιζεν,ὀκλαδὸν
ἁλίσκωνται,ἀποφεύγουσι,τεταρταῖος,τύχωσιν,ἐδόθησαν
κρείουσα,πνείουσα,παράμειβον,θηλυτέρῃσι,κέκλυθι
ὑπτίοις,ὑπτίους,μηδετέρως,ὕπτια,μεταλλείαις
παρέξονται,παρέξοντα,παρέξοντος,δηλώσοντας,συντρόφους
ἀγχικέλευθον,ἐναυλίζοντο,ἐμάστιε,αἰνομανὴς,ὁμοπλεκέων
εὐτελεῖ,εὐτελεῖς,σινδόνι,ἐπιλαμβανομένων,πορφύραν
τριγώνους,τετραγώνους,πυραμίδας,βάσεις,πυραμίδες
μετελθών,κατελθών,προεκρίθη,μετελθούσης,μετελθὼν
ἐμπίπτωσιν,προσπίπτωσι,περίπτωσιν,ἀριθμοί,Εὕρηνται
φιλονεικοῦντες,φιλονεικοῦντας,φιλονεικοῦσιν,προειληφότες,δυσκολαίνοντες
νοερὰ,νοερῶν,ἀποθνήσκομεν,θεωρεῖται,ψυχὴ
ἀναπαυομένοις,ἀναπαυομένου,ἀναπαυομένῳ,ἀναπαυομένους,ἀναπαυομένων
Κούρητες,Κούρητας,Δικταῖοι,Ἰδαίοιο,Δακτύλων
ἠμελημένων,ἠμελημένον,ἠμελημένως,ἀδέσμῳ,δεξαμενὰς
χορός,συρβηνέων,εὐδίνητον,ἐπεκόσμεε,λαχάνοισιν
διελὼν,διέταξε,προσέβαλλε,νεμηθέντες,τριχῇ
ἀνατίθεται,ἀνατίθεσθαι,ἀνατίθεμαι,ἀνατίθησιν,θαυμασάντων
ἐλεύθερόν,ἐλεύθερον,Χριστιανόν,ἀπειθὴς,δουλεύοντα
δυσμαῖς,κηδεστὰς,μεμένηκε,Ἰουστίνῳ,γεννάδα
Φέρεται,Βιβλία,Παμμέτρῳ,Φέρει,Ἐπιστολαί
ὕδατί,ἀγρίαις,ἐξέχοντα,εὐθέα,ἀλείφατι
διατεμὼν,κατατεμὼν,διατεμεῖν,προέχον,διέλθῃ
ἄκατος,πηδαλίῳ,ἰητῆρες,στὶ,ἄγκυραι
Πόσους,ὑπάγετε,ὀλιγόπιστοι,ἔθαψα,Ἰσραηλεῖται
</s>,φιλοσταφύλῳ,·,πυριβλήτοιο,ἀλεξικάκοιο
Τυδείδης,Τυδείδην,Μουσᾶν,λαγωοῦ,εἰωθυῖαν
ἐναγίζειν,καίουσι,ἐναγίζουσιν,τεθνηκόσιν,χοὰς
ὑπόσπονδοι,ὑπόσπονδον,ὑπόσπονδος,προτείναντες,Μανάημον
θαῦμά,ἀναισθησίας,πήμασιν,ἥδιστʼ,ἀνεκτόν
Ἁρπυίας,καρτεροῦσιν,Φινεύς,ἰούσας,ἀποσοβεῖν
πολυμάθειαν,γελάσαντος,ὡμιληκότων,Νέβιος,ἀριστοκρατικῶν
ἀποτομή,ἀποτομήν,ἀποτομῇ,ἀποτομὴ,σύμμετρά
νιφετῶν,νίφεσθαι,παχεῖαι,ἐξηράνθη,βρόμον
μέσσοις,ἀνστὰς,ἱπποδασείης,μέσσοισι,ἐγχέσπαλος
</s>,ἀμπεπαλὼν,ἀΐξασα,ἐρύσσατο,·
καταγραφήν,καταγραφῆς,καταγραφὴν,καταγραφὰς,καταγραφέντων
σαῶσαι,χωσαμένη,σῇσιν,διχθαδίην,Νηρῆα
ἑρπετά,ἐφίζει,κώδειαν,κηρὸς,ἐστήριξε
ἐγκεφάλοιο,σιάλοιο,ὑπερφιάλοιο,ὀφθαλμοῖο,ὀϊστὸς
ἰσημερινὰς,παραπλεύσαντι,ἀφορίζοντες,ἐκβολῶν,νότον
Ὠαρίων,ἀποβρίξαντες,ἐνισχόμενον,Σείριος,διαρραῖσαι
ἅπτῃ,Ἀρταμουξία,ΛΥΚΙΝΟΣΚαὶ,ἐγχεῖ,Αἰήτῃ
ἐπελάμβανε,ἐπελάμβανεν,ἀγροίκοις,ἀπελάμβανεν,ἔρσενας
ὑποχωροῦντας,ἀποχωροῦντας,ἀποχώρησιν,ἐκτείνοντα,φιληρέτμοισι
ᾔδεσαν,ἐνεχείρισαν,ἐπεσημήναντο,ἄφρακτον,κατανάλωσαν
πλήρους,πολυχειρίαν,πλούσιον,μάτευε,σύνθετόν
τέρμινθον,Μαιῶται,σχῖνον,κέγχρον,ἐδόκουν
ΑΒ,ΓΔ,ΒΓ,ΑΓ,ΕΑ
Βαβυλωνίαν,Βαβυλωνία,Βαβυλωνίας,Μεσοποταμίαν,Σουσιανὴν
μεδώμεθα,κοίτοιο,κοίτου,ἐϋσθενέεσσι,ὀϊζύς
οἰκοδομουμένῳ,οἰκοδόμησις,οἰκοδομικὴ,ἀνολκὴν,δεκτικῷ
πολέμαρχος,πολέμαρχον,πολέμαρχοι,Πολέμαρχος,Θεσπιαῖς
ἀποστάσεως,αἰτίους,ἀφισταμένου,ἐγκαταληφθέντας,ξυνεπελάβοντο
χρῄζει,δάνος,μεμορμένον,ταλάντων,προτείνουσα
προλέγοντες,προλέγοντος,προλέγοντα,προλέγουσι,ὤρθωσαν
ἀγέρθη,ἀτταταῖ,σβέσαν,Ἀρταμουξία,φιληρέτμοισι
ἀθετῶν,Ἀρταμουξία,οἰκοδεσποτησάντων,ἀκροβυστίᾳ,περιποίησιν
ἐταπείνωσε,ἐταπείνωσεν,ἐπικειμένους,συνέστειλεν,κατέπληξε
εὐροίας,εὐροίᾳ,Νικαγόρου,ἐρρωμένα,Ἀπεννῖνον
ἐπιλαμβανομένους,ἐπιλαμβανομένων,ἐπιλαμβανομένη,ἐπιλαμβανόμενοι,ἐπιλαμβανόμενος
ἀστασίαστος,ἀστασίαστον,προστατούντων,σπουδαίᾳ,ἐπανῆκον
ῥοῖζον,δοῦπον,τρίπον,εἰσαΐων,ἀμφιβολιῶν
ἐκκόψῃ,ἁρπαγμὸν,ὀφθαλμὸν,στερηθεῖεν,τιμήσεως
