Query,Neighbor_Native,Similarity_Native,Neighbor_Faiss,Similarity_Faiss
τρέξιμο,ἐπέξιμεν,0.4768710434436798,ἐπέξιμεν,23.39832
τρέξιμο,Θεσσαλοί,0.41175514459609985,νας,19.068657
τρέξιμο,ὑποφεύγειν,0.4034199118614197,πυρέξαι,18.69045
τρέξιμο,πυρέξαι,0.39881783723831177,Θεσσαλοί,18.169874
τρέξιμο,ἠφάνιστο,0.3864833116531372,σα,18.028133
τρέξιμο,πολυπόδων,0.3844616413116455,πλάνου,17.98695
τρέξιμο,Αὔξιμον,0.3836614787578583,΄.,17.978575
τρέξιμο,τρέψει,0.3803912401199341,τρέψει,17.859547
τρέξιμο,πταῖσαι,0.3790338635444641,στῶ,17.809324
τρέξιμο,πλάνου,0.37589898705482483,ναι,17.730032
σκούντημα,ἀσκούντων,0.6057525277137756,ἀσκούντων,40.872852
σκούντημα,ἀπηντημένων,0.4335760474205017,ὓ,40.516117
σκούντημα,ἀτταταῖ,0.4324764609336853,ξυμ,38.312023
σκούντημα,φρονητέον,0.43076249957084656,σί,37.224667
σκούντημα,ἀγχιμαχηταὶ,0.42171382904052734,σα,34.19841
σκούντημα,πεποίηκε,0.41933587193489075,βου,34.177498
σκούντημα,ἀπέκτεινεν,0.4175252914428711,λων,33.53341
σκούντημα,ἐπέχει,0.41738268733024597,προ,33.488537
σκούντημα,ἀριπρεπές,0.4108707904815674,σαι,33.45675
σκούντημα,θυσίῃσι,0.41015011072158813,κων,33.15129
βόλτα,βόλον,0.6580082178115845,βόλον,43.528522
βόλτα,δέλτα,0.42934519052505493,σί,34.763153
βόλτα,πυρρός,0.4150160551071167,κάλυψαν,30.023724
βόλτα,σοῦσθε,0.4102661609649658,ἀτρυγέτοιο,29.349798
βόλτα,Κλείτωρ,0.4055774211883545,ξας,29.274628
βόλτα,ἀστραγάλους,0.3999788761138916,εο,29.126904
βόλτα,Ὀπουντίοις,0.39744827151298523,ἰξύι,28.56961
βόλτα,δονέουσιν,0.3965851366519928,λῦσεν,28.311796
βόλτα,ὄχεσφι,0.3946169316768646,σα,28.149944
βόλτα,εἰναλίοις,0.3935771584510803,πυρρός,27.661453
άλμα,σφάλμα,0.7018929123878479,σφάλμα,57.563
άλμα,ἰνδάλματα,0.45902755856513977,ἰνδάλματα,42.190193
άλμα,Ἰδαίων,0.3809588849544525,σα,38.50439
άλμα,προσκειμένην,0.3716603219509125,ας,36.95317
άλμα,καθέντα,0.36579275131225586,τριβή,36.393513
άλμα,δυνατώτερον,0.3574824929237366,ἁμαξιτὸς,35.3018
άλμα,ὁλκῆς,0.357411652803421,δέλτῳ,34.328075
άλμα,προτομὴν,0.3568994104862213,θυμέλῃσι,34.31343
άλμα,μυκτῆρα,0.3552538752555847,μα,34.181705
άλμα,ἁμαξιτὸς,0.35419008135795593,κομάων,33.323017
αγάπη,ἀγάπη,0.6511124968528748,ἀγάπη,29.375957
αγάπη,παναγάθου,0.424601674079895,παναγάθου,26.956017
αγάπη,ἐτράπη,0.38824883103370667,πίστευσον,21.351671
αγάπη,ἐλπίσατε,0.37757766246795654,ἐνώπιόν,21.321985
αγάπη,πίστευσον,0.3761073648929596,εα,21.31486
αγάπη,ῥομφαία,0.36337241530418396,ἐλπίσατε,21.30172
αγάπη,ὑπερηγάπησεν,0.3627908527851105,ῥομφαία,21.128891
αγάπη,ὑπερηγάπησαν,0.3521689176559448,θη,21.115597
αγάπη,ἐγκέκραται,0.3516559302806854,ὤλισθε,20.980787
αγάπη,ἐβάστασεν,0.3467963635921478,ἐδέετο,20.754108
κατάρα,θηκτῷ,0.45975685119628906,κατάρα,103.789734
κατάρα,κατάραν,0.41709721088409424,θηκτῷ,55.30615
κατάρα,ἐπαρᾶσθαι,0.3910757303237915,θη,46.027977
κατάρα,θερισθῆναι,0.38092368841171265,κατάραν,43.30886
κατάρα,ἐπιορκίας,0.38032209873199463,ἐπήν,42.362362
κατάρα,ἐπήν,0.3735710084438324,ἐπαρᾶσθαι,41.947742
κατάρα,νηστείαν,0.36879846453666687,λων,40.43337
κατάρα,τραγικὴ,0.3645682632923126,κομάων,40.35989
κατάρα,ἀλγούντων,0.3617890477180481,Γαίῃ,40.314495
κατάρα,κατεσκάπτετο,0.35995498299598694,μόλεν,39.980957
επιτυχία,ἐπιτυχίας,0.8016183972358704,ἐπιτυχίας,60.725906
επιτυχία,ἐπιτυχίαν,0.7690167427062988,ἐπιτυχίαν,58.121407
επιτυχία,δυστυχία,0.45308488607406616,ξας,36.446285
επιτυχία,ἀτυχία,0.41799136996269226,ΞΟ,35.885067
επιτυχία,εὐτυχία,0.39419612288475037,ΟΣ,35.18265
επιτυχία,διοικεῖται,0.378069132566452,ἷζε,34.909733
επιτυχία,ΟΣ,0.3762589991092682,σί,34.38832
επιτυχία,ΥΦ,0.37294822931289673,κτάνεν,33.84509
επιτυχία,ἀρηϊφίλων,0.36955782771110535,κεῖτʼ,33.664715
επιτυχία,πολύτροποι,0.3684031665325165,δυστυχία,33.647034
μιλώ,μιλίων,0.4685666561126709,μιλίων,36.988914
μιλώ,ἀφομοιοῦν,0.3899972140789032,ἀφομοιοῦν,30.008472
μιλώ,ἀπαιτητέον,0.34772539138793945,βα,29.66395
μιλώ,ὀβολώ,0.3392828106880188,δια,29.323633
μιλώ,ἀναπέμπει,0.32779669761657715,ὀβολώ,29.26827
μιλώ,δοξάσαι,0.3179418444633484,λα,27.707506
μιλώ,προσομιλήσας,0.3170695900917053,ῥοῇ,26.90849
μιλώ,διαφορότητα,0.31596386432647705,ας,26.85132
μιλώ,Παύσωνος,0.3099840581417084,ἕψει,26.482927
μιλώ,ἐλλείψει,0.30880433320999146,ἀπαιτητέον,25.916
