Query,Neighbor_Native,Similarity_Native,Neighbor_Faiss,Similarity_Faiss
τρέξιμο,ἐπέξιμεν,0.4768710434436798,ἐπέξιμεν,0.4768711
τρέξιμο,Θεσσαλοί,0.41175514459609985,Θεσσαλοί,0.4117552
τρέξιμο,ὑποφεύγειν,0.4034199118614197,ὑποφεύγειν,0.40342003
τρέξιμο,πυρέξαι,0.39881783723831177,πυρέξαι,0.3988178
τρέξιμο,ἠφάνιστο,0.3864833116531372,ἠφάνιστο,0.38648328
τρέξιμο,πολυπόδων,0.3844616413116455,πολυπόδων,0.38446158
τρέξιμο,Αὔξιμον,0.3836614787578583,Αὔξιμον,0.38366157
τρέξιμο,τρέψει,0.3803912401199341,τρέψει,0.3803914
τρέξιμο,πταῖσαι,0.3790338635444641,πταῖσαι,0.37903392
τρέξιμο,πλάνου,0.37589898705482483,πλάνου,0.37589929
σκούντημα,ἀσκούντων,0.6057525277137756,ἀσκούντων,0.6057526
σκούντημα,ἀπηντημένων,0.4335760474205017,ἀπηντημένων,0.43357572
σκούντημα,ἀτταταῖ,0.4324764609336853,ἀτταταῖ,0.4324765
σκούντημα,φρονητέον,0.43076249957084656,φρονητέον,0.43076244
σκούντημα,ἀγχιμαχηταὶ,0.42171382904052734,ἀγχιμαχηταὶ,0.42171395
σκούντημα,πεποίηκε,0.41933587193489075,πεποίηκε,0.4193359
σκούντημα,ἀπέκτεινεν,0.4175252914428711,ἀπέκτεινεν,0.41752508
σκούντημα,ἐπέχει,0.41738268733024597,ἐπέχει,0.41738275
σκούντημα,ἀριπρεπές,0.4108707904815674,ἀριπρεπές,0.41087052
σκούντημα,θυσίῃσι,0.41015011072158813,θυσίῃσι,0.41015014
βόλτα,βόλον,0.6580082178115845,βόλον,0.65800816
βόλτα,δέλτα,0.42934519052505493,δέλτα,0.42934528
βόλτα,πυρρός,0.4150160551071167,πυρρός,0.41501606
βόλτα,σοῦσθε,0.4102661609649658,σοῦσθε,0.41026628
βόλτα,Κλείτωρ,0.4055774211883545,Κλείτωρ,0.4055774
βόλτα,ἀστραγάλους,0.3999788761138916,ἀστραγάλους,0.3999788
βόλτα,Ὀπουντίοις,0.39744827151298523,Ὀπουντίοις,0.39744836
βόλτα,δονέουσιν,0.3965851366519928,δονέουσιν,0.39658493
βόλτα,ὄχεσφι,0.3946169316768646,ὄχεσφι,0.39461696
βόλτα,εἰναλίοις,0.3935771584510803,εἰναλίοις,0.3935771
άλμα,σφάλμα,0.7018929123878479,σφάλμα,0.70189273
άλμα,ἰνδάλματα,0.45902755856513977,ἰνδάλματα,0.45902765
άλμα,Ἰδαίων,0.3809588849544525,Ἰδαίων,0.38095877
άλμα,προσκειμένην,0.3716603219509125,προσκειμένην,0.3716604
άλμα,καθέντα,0.36579275131225586,καθέντα,0.3657928
άλμα,δυνατώτερον,0.3574824929237366,δυνατώτερον,0.35748255
άλμα,ὁλκῆς,0.357411652803421,ὁλκῆς,0.3574117
άλμα,προτομὴν,0.3568994104862213,προτομὴν,0.35689938
άλμα,μυκτῆρα,0.3552538752555847,μυκτῆρα,0.3552538
άλμα,ἁμαξιτὸς,0.35419008135795593,ἁμαξιτὸς,0.35419014
αγάπη,ἀγάπη,0.6511124968528748,ἀγάπη,0.6511126
αγάπη,παναγάθου,0.424601674079895,παναγάθου,0.42460176
αγάπη,ἐτράπη,0.38824883103370667,ἐτράπη,0.38824862
αγάπη,ἐλπίσατε,0.37757766246795654,ἐλπίσατε,0.37757754
αγάπη,πίστευσον,0.3761073648929596,πίστευσον,0.37610722
αγάπη,ῥομφαία,0.36337241530418396,ῥομφαία,0.3633724
αγάπη,ὑπερηγάπησεν,0.3627908527851105,ὑπερηγάπησεν,0.36279088
αγάπη,ὑπερηγάπησαν,0.3521689176559448,ὑπερηγάπησαν,0.35216883
